quiz_code,question_code,language
QUIZ010,QUZ101,Arabic
QUIZ010,QUZ101,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q9_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q10_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q11_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q12_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q13_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q1_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q2_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q3_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q4_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q5_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q6_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q7_004,Arabic
FMPS_C028_QG28_004,FMPS_C028_QG28_Q8_004,Arabic
QZ301,QZ 390,Arabic
FMPS_C018_QV04,FMPS_C018_QV04_Q_1,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_2,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_3,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_4,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_5,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_6,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_7,Arabic
FMPS_C018_QV01,FMPS_C018_QV04_Q_8,Arabic
